Class,SpellName,Rank1_ID,AllRankIDs,flags0,flags1,flags2,flags0_hex,flags1_hex,flags2_hex,SpellType,ModifiableStats,VerifyCommand
Death Knight,"Shield of Bones",69069,"69069",0,64,0,0x00000000,0x00000040,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 69069"
Death Knight,"Unbreakable Armor",51271,"51271",2097152,0,0,0x00200000,0x00000000,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 51271"
Death Knight,"Mind Freeze",47528,"47528",1024,0,0,0x00000400,0x00000000,0x00000000,CC/Debuff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14), Cooldown (op=11)","VERIFY: .spellinfo all 47528"
Death Knight,"Mind Freeze",53550,"53550",1024,0,0,0x00000400,0x00000000,0x00000000,CC/Debuff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14), Cooldown (op=11)","VERIFY: .spellinfo all 53550"
Death Knight,"Anti-Magic Shell",48707,"48707",131072,0,0,0x00020000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 48707"
Death Knight,"Anti-Magic Zone",50462,"50462",131072,0,0,0x00020000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50462"
Death Knight,"Anti-Magic Zone",51052,"51052",0,524288,0,0x00000000,0x00080000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51052"
Death Knight,"Anti-Magic Zone",50461,"50461",0,524288,0,0x00000000,0x00080000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50461"
Death Knight,"Blood Strike",52374,"52374",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 52374"
Death Knight,"Blood Strike",66215,"66215, 66975, 66976, 66977, 66978, 66979",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66215"
Death Knight,"Blood Strike",45902,"45902, 49926, 49927, 49928, 49929, 49930",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 45902"
Death Knight,"Blood Tap",45529,"45529",8,0,0,0x00000008,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 45529"
Death Knight,"Caught!",70355,"70355",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 70355"
Death Knight,"Caught!",70344,"70344",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 70344"
Death Knight,"Chains of Ice",45524,"45524",4,49152,0,0x00000004,0x0000C000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 45524"
Death Knight,"Chains of Ice",53534,"53534",4,32768,0,0x00000004,0x00008000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53534"
Death Knight,"Chains of Ice",61077,"61077",4,32768,0,0x00000004,0x00008000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 61077"
Death Knight,"Command",65221,"65221",0,8388608,0,0x00000000,0x00800000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 65221"
Death Knight,"Corpse Blight",54088,"54088",0,2048,0,0x00000000,0x00000800,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 54088"
Death Knight,"Corpse Explosion",50444,"50444",0,32,0,0x00000000,0x00000020,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50444"
Death Knight,"Corpse Rot",50445,"50445",0,2080,0,0x00000000,0x00000820,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50445"
Death Knight,"CP Test Spell",69738,"69738",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 69738"
Death Knight,"CP Test Spell 2",69737,"69737",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 69737"
Death Knight,"Crypt Fever",50508,"50508, 50509, 50510",0,0,16,0x00000000,0x00000000,0x00000010,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50508"
Death Knight,"Dancing Rune Weapon",49028,"49028",1073741824,0,0,0x40000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49028"
Death Knight,"Dark Command",56222,"56222",0,268435456,0,0x00000000,0x10000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 56222"
Death Knight,"Death",50438,"50438",0,8192,0,0x00000000,0x00002000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50438"
Death Knight,"Death Coil",47632,"47632",8192,0,1,0x00002000,0x00000000,0x00000001,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 47632"
Death Knight,"Death Coil",62900,"62900, 62901, 62902, 62903, 62904",8192,0,0,0x00002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 62900"
Death Knight,"Death Coil",52375,"52375",8192,0,0,0x00002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 52375"
Death Knight,"Death Coil",53769,"53769",8192,0,0,0x00002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53769"
Death Knight,"Death Coil",47541,"47541, 49892, 49893, 49894, 49895",8192,0,0,0x00002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 47541"
Death Knight,"Death Coil",59134,"59134",8192,0,0,0x00002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 59134"
Death Knight,"Death Coil",47633,"47633",2147491840,0,0,0x80002000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 47633"
Death Knight,"Death Grip",53276,"53276",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53276"
Death Knight,"Death Grip",57603,"57603",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 57603"
Death Knight,"Death Grip",51399,"51399",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51399"
Death Knight,"Death Grip",57602,"57602",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 57602"
Death Knight,"Death Grip",57604,"57604",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 57604"
Death Knight,"Death Grip",55719,"55719",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55719"
Death Knight,"Death Grip",61094,"61094",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 61094"
Death Knight,"Death Grip",49576,"49576",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49576"
Death Knight,"Death Grip",49575,"49575",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49575"
Death Knight,"Death Grip",49560,"49560",33554432,0,0,0x02000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49560"
Death Knight,"Death Pact",48743,"48743",524288,0,0,0x00080000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 48743"
Death Knight,"Death Rune Mastery",49467,"49467",16384,0,0,0x00004000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49467"
Death Knight,"Death Rune Mastery",50808,"50808",8,0,0,0x00000008,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50808"
Death Knight,"Death Rune Mastery",50807,"50807",8,0,0,0x00000008,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50807"
Death Knight,"Death Rune Mastery",50033,"50033",16384,0,0,0x00004000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50033"
Death Knight,"Death Rune Mastery",50806,"50806",8,0,0,0x00000008,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50806"
Death Knight,"Death Rune Mastery",50034,"50034",16384,0,0,0x00004000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50034"
Death Knight,"Death Strike",49998,"49998, 49999, 45463, 49923, 49924",16,0,0,0x00000010,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49998"
Death Knight,"Death Strike",53639,"53639",256,2048,0,0x00000100,0x00000800,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53639"
Death Knight,"Death Strike",66188,"66188, 66950, 66951, 66952, 66953",16,0,0,0x00000010,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66188"
Death Knight,"Death Strike",45470,"45470",0,0,4,0x00000000,0x00000000,0x00000004,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 45470"
Death Knight,"Death Strike",71489,"71489",16,0,0,0x00000010,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 71489"
Death Knight,"Deathchill",49796,"49796",0,1,0,0x00000000,0x00000001,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49796"
Death Knight,"Degeneration",53605,"53605",256,2048,0,0x00000100,0x00000800,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53605"
Death Knight,"Desecration",55741,"55741",0,524288,0,0x00000000,0x00080000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55741"
Death Knight,"Desecration",68766,"68766",0,524288,0,0x00000000,0x00080000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 68766"
Death Knight,"Desecration",55667,"55667",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55667"
Death Knight,"Desecration",67804,"67804",0,524288,0,0x00000000,0x00080000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 67804"
Death Knight,"Desecration",55666,"55666",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55666"
Death Knight,"Desolation",66817,"66817",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66817"
Death Knight,"Desolation",66815,"66815",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66815"
Death Knight,"Desolation",66814,"66814",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66814"
Death Knight,"Desolation",66799,"66799",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66799"
Death Knight,"Desolation",66816,"66816",128,0,0,0x00000080,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66816"
Death Knight,"Empower Rune Weapon",47568,"47568",16384,0,0,0x00004000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 47568"
Death Knight,"Frost Fever",59921,"59921",0,67110912,0,0x00000000,0x04000800,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 59921"
Death Knight,"Frost Fever",55095,"55095",0,67110912,2,0x00000000,0x04000800,0x00000002,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55095"
Death Knight,"Frost Strike",66196,"66196, 66958, 66959, 66960, 66961, 66962",0,4,0,0x00000000,0x00000004,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66196"
Death Knight,"Frost Strike",49143,"49143, 51416, 51417, 51418, 51419, 55268",0,4,0,0x00000000,0x00000004,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49143"
Death Knight,"Frost Vulnerability",51714,"51714",2097152,0,0,0x00200000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51714"
Death Knight,"Frostfever",53388,"53388",0,2048,0,0x00000000,0x00000800,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53388"
Death Knight,"Frozen",50635,"50635",0,32768,0,0x00000000,0x00008000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50635"
Death Knight,"Frozen",51440,"51440",0,32768,0,0x00000000,0x00008000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51440"
Death Knight,"Frozen Rune Weapon",50406,"50406",2097152,0,0,0x00200000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50406"
Death Knight,"Frozen Rune Weapon",51390,"51390",2147483648,0,0,0x80000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51390"
Death Knight,"Frozen Rune Weapon",51391,"51391",2147483648,0,0,0x80000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51391"
Death Knight,"Frozen Rune Weapon",49142,"49142",2147483648,0,0,0x80000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49142"
Death Knight,"Frozen Rune Weapon",51392,"51392",2147483648,0,0,0x80000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51392"
Death Knight,"Frozen Rune Weapon",51389,"51389",2147483648,0,0,0x80000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 51389"
Death Knight,"Ghoul Frenzy",63560,"63560",0,0,32,0x00000000,0x00000000,0x00000020,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 63560"
Death Knight,"Gift of the Naaru",59545,"59545",0,0,2147483648,0x00000000,0x00000000,0x80000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 59545"
Death Knight,"Heart Strike",55050,"55050, 55258, 55259, 55260, 55261, 55262",16777216,0,0,0x01000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55050"
Death Knight,"Heart Strike",55978,"55978",4194304,0,0,0x00400000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 55978"
Death Knight,"Horn of Winter",57330,"57330, 57623",0,1073741824,0,0x00000000,0x40000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 57330"
Death Knight,"Howling Blast",53536,"53536",0,2,0,0x00000000,0x00000002,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53536"
Death Knight,"Howling Blast",49184,"49184, 51409, 51410, 51411",0,2,0,0x00000000,0x00000002,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49184"
Death Knight,"Hungering Cold",49203,"49203",0,36864,0,0x00000000,0x00009000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49203"
Death Knight,"Hysteria",49016,"49016",536870912,0,0,0x20000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49016"
Death Knight,"Icebound Fortitude",48792,"48792",1048576,0,0,0x00100000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 48792"
Death Knight,"Icy Clutch",50436,"50436",0,262144,0,0x00000000,0x00040000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50436"
Death Knight,"Icy Clutch",50435,"50435",0,262144,0,0x00000000,0x00040000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50435"
Death Knight,"Icy Clutch",50434,"50434",0,262144,0,0x00000000,0x00040000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50434"
Death Knight,"Icy Talons",50886,"50886",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50886"
Death Knight,"Icy Talons",50885,"50885",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50885"
Death Knight,"Icy Talons",50884,"50884",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50884"
Death Knight,"Icy Talons",50887,"50887",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50887"
Death Knight,"Icy Talons",50880,"50880",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50880"
Death Knight,"Icy Touch",52372,"52372",2147483650,0,0,0x80000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 52372"
Death Knight,"Icy Touch",59131,"59131",2147483650,0,0,0x80000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 59131"
Death Knight,"Icy Touch",53549,"53549",2147483650,0,0,0x80000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 53549"
Death Knight,"Icy Touch",45477,"45477, 49896, 49903, 49904, 49909",2,0,0,0x00000002,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 45477"
Death Knight,"Improved Corpse Explosion",49601,"49601, 49602",0,32,0,0x00000000,0x00000020,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49601"
Death Knight,"Improved Rune Tap",48985,"48985",262144,0,0,0x00040000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 48985"
Death Knight,"Improved Rune Tap",49489,"49489",262144,0,0,0x00040000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49489"
Death Knight,"Improved Rune Tap",49488,"49488",262144,0,0,0x00040000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49488"
Death Knight,"Lichborne",49039,"49039",0,16,0,0x00000000,0x00000010,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49039"
Death Knight,"Lichborne",50397,"50397",0,16,0,0x00000000,0x00000010,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 50397"
Death Knight,"Melee Intervention",54062,"54062",67108864,0,0,0x04000000,0x00000000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 54062"
Death Knight,"Obliterate",66198,"66198, 66972, 66973, 66974",0,131072,0,0x00000000,0x00020000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 66198"
Death Knight,"Obliterate",49020,"49020, 51423, 51424, 51425",0,131072,0,0x00000000,0x00020000,0x00000000,Damage,"Damage (op=0), Cast Time (op=10), Crit Chance (op=7), Mana Cost (op=14)","VERIFY: .spellinfo all 49020"
